path,emotion,emotion_id,actor,gender,intensity,duration
data/raw/ravdess/Actor_01/03-01-01-01-01-01-01.wav,neutral,1,1,male,normal,3.3032916666666665
data/raw/ravdess/Actor_01/03-01-01-01-01-02-01.wav,neutral,1,1,male,normal,3.3366666666666664
data/raw/ravdess/Actor_01/03-01-01-01-02-01-01.wav,neutral,1,1,male,normal,3.2699166666666666
data/raw/ravdess/Actor_01/03-01-01-01-02-02-01.wav,neutral,1,1,male,normal,3.1698333333333335
data/raw/ravdess/Actor_01/03-01-02-01-01-01-01.wav,calm,2,1,male,normal,3.5368541666666666
data/raw/ravdess/Actor_01/03-01-02-01-01-02-01.wav,calm,2,1,male,normal,3.6035833333333334
data/raw/ravdess/Actor_01/03-01-02-01-02-01-01.wav,calm,2,1,male,normal,3.5035
data/raw/ravdess/Actor_01/03-01-02-01-02-02-01.wav,calm,2,1,male,normal,3.4701458333333335
data/raw/ravdess/Actor_01/03-01-02-02-01-01-01.wav,calm,2,1,male,strong,3.703708333333333
data/raw/ravdess/Actor_01/03-01-02-02-01-02-01.wav,calm,2,1,male,strong,4.004
data/raw/ravdess/Actor_01/03-01-02-02-02-01-01.wav,calm,2,1,male,strong,4.204208333333334
data/raw/ravdess/Actor_01/03-01-02-02-02-02-01.wav,calm,2,1,male,strong,4.004
data/raw/ravdess/Actor_01/03-01-03-01-01-01-01.wav,happy,3,1,male,normal,3.4701458333333335
data/raw/ravdess/Actor_01/03-01-03-01-01-02-01.wav,happy,3,1,male,normal,3.470125
data/raw/ravdess/Actor_01/03-01-03-01-02-01-01.wav,happy,3,1,male,normal,3.5368541666666666
data/raw/ravdess/Actor_01/03-01-03-01-02-02-01.wav,happy,3,1,male,normal,3.703708333333333
data/raw/ravdess/Actor_01/03-01-03-02-01-01-01.wav,happy,3,1,male,strong,3.6703333333333332
data/raw/ravdess/Actor_01/03-01-03-02-01-02-01.wav,happy,3,1,male,strong,3.6369583333333333
data/raw/ravdess/Actor_01/03-01-03-02-02-01-01.wav,happy,3,1,male,strong,3.93725
data/raw/ravdess/Actor_01/03-01-03-02-02-02-01.wav,happy,3,1,male,strong,3.9372708333333333
data/raw/ravdess/Actor_01/03-01-04-01-01-01-01.wav,sad,4,1,male,normal,3.8371666666666666
data/raw/ravdess/Actor_01/03-01-04-01-01-02-01.wav,sad,4,1,male,normal,3.5702291666666666
data/raw/ravdess/Actor_01/03-01-04-01-02-01-01.wav,sad,4,1,male,normal,3.5035
data/raw/ravdess/Actor_01/03-01-04-01-02-02-01.wav,sad,4,1,male,normal,3.370041666666667
data/raw/ravdess/Actor_01/03-01-04-02-01-01-01.wav,sad,4,1,male,strong,3.8037916666666667
data/raw/ravdess/Actor_01/03-01-04-02-01-02-01.wav,sad,4,1,male,strong,3.703708333333333
data/raw/ravdess/Actor_01/03-01-04-02-02-01-01.wav,sad,4,1,male,strong,3.7370833333333335
data/raw/ravdess/Actor_01/03-01-04-02-02-02-01.wav,sad,4,1,male,strong,3.7370625
data/raw/ravdess/Actor_01/03-01-05-01-01-01-01.wav,angry,5,1,male,normal,3.8705416666666665
data/raw/ravdess/Actor_01/03-01-05-01-01-02-01.wav,angry,5,1,male,normal,3.9372708333333333
data/raw/ravdess/Actor_01/03-01-05-01-02-01-01.wav,angry,5,1,male,normal,3.5035
data/raw/ravdess/Actor_01/03-01-05-01-02-02-01.wav,angry,5,1,male,normal,3.7370625
data/raw/ravdess/Actor_01/03-01-05-02-01-01-01.wav,angry,5,1,male,strong,4.104104166666667
